t1,9.53
t3,29.61
t3,29.29
t1,10.35
t1,9.71
t1,10.38
t1,10.77
t3,30.33
t1,9.22
t1,10.00
t2,20.31
t3,30.98
t1,9.70
t2,19.40
t2,19.05
t3,30.15
t1,9.10
t3,29.28
t3,29.02
t3,29.09
t3,29.50
t3,30.92
t1,10.38
t1,10.38
t2,20.46
t2,19.94
t3,29.58
t3,29.68
t3,30.09
t3,30.33
t1,9.37
t1,10.53
t3,29.14
t3,30.70
t2,19.64
t2,20.04
t2,20.91
t3,30.15
t1,10.23
t2,19.84
t1,9.14
t3,29.16
t2,20.34
t2,20.05
t1,9.95
t2,19.44
t3,30.70
t1,9.16
t3,29.07
t1,10.12
t2,20.28
t3,30.83
t3,30.69
t2,20.34
t1,9.53
t2,20.59
t1,9.20
t3,30.72
t1,9.63
t1,10.61
t2,19.67
t3,29.76
t1,10.02
t2,20.70
t3,29.81
t3,29.77
t1,9.73
t2,19.07
t1,10.94
t3,29.23
t3,29.37
t1,9.30
t1,10.86
t1,10.29
t3,29.30
t3,30.82
t1,10.43
t1,10.26
t1,10.93
t1,10.21
t3,30.08
t1,10.73
t3,30.95
t2,20.69
t1,9.90
t3,30.70
t1,10.77
t3,30.75
t2,19.45
t1,9.18
t3,29.04
t2,19.08
t3,30.77
t3,30.80
t3,30.41
t2,19.99
t3,29.12
t3,30.40
t2,19.89
t2,20.50
t1,10.39
t3,30.37
t1,9.75
t1,10.35
t2,20.27
t3,29.87
t2,20.51
t2,19.66
t3,30.49
t1,9.32
t2,19.53
t1,9.16
t3,30.78
t1,10.52
t3,29.51
t1,10.19
t3,29.27
t2,19.81
t3,30.70
t3,29.12
t1,10.49
t3,30.10
t3,29.42
t1,10.93
t2,20.00
t3,29.13
t3,29.88
t2,20.98
t2,20.39
t3,29.52
t3,29.30
t2,19.71
t3,30.59
t1,10.96
t1,10.90
t1,10.73
t2,19.18
t2,20.87
t2,20.57
t1,9.58
t3,29.60
t1,10.82
t3,29.80
t3,30.54
t1,10.43
t3,30.81
t1,10.84
t2,19.50
t2,19.08
t3,29.89
t3,29.09
t3,30.36
t2,20.51
t1,10.48
t3,29.73
t1,10.99
t3,29.64
t2,19.96
t1,9.19
t1,9.99
t3,29.35
t3,29.68
t3,30.69
t3,29.21
t1,10.39
t3,30.82
t2,20.70
t2,19.37
t2,20.54
t3,29.99
t1,9.41
t1,9.17
t2,19.61
t2,20.71
t2,19.06
t1,9.01
t2,20.44
t1,9.41
t2,20.31
t1,9.41
t2,19.06
t2,19.99
t3,29.32
t2,19.45
t1,10.16
t3,30.66
t3,29.87
t2,20.41
t3,29.55
t2,19.05
t1,9.39
t2,20.51
t2,19.86
t2,20.19
t1,9.96
t2,20.88
t2,19.62
t3,30.83
t1,10.21
t3,29.77
t3,30.20
t1,10.25
t1,10.69
t2,19.76
t1,10.28
t1,9.03
t2,19.81
t1,10.08
t2,20.24
t3,29.23
t3,31.00
t1,9.27
t1,9.25
t3,29.27
t3,30.03
t2,20.63
t1,10.07
t2,20.64
t3,30.16
t3,29.54
t1,10.32
t2,19.68
t1,10.32
t3,29.90
t2,20.96
t2,20.67
t3,29.06
t1,10.95
t2,19.71
t3,29.61
t1,10.01
t1,10.57
t2,19.46
